AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Matthew Dasgupta,19,M,A1
2,2,Laban Bera,49,M,A1
3,2,Ojas Ramaswamy,27,M,A2
4,2,Advik Iyengar,44,M,A3
5,2,Atharv Bhatti,42,M,A4
6,3,Bhavani Raval,22,F,A1
7,4,Nathaniel Bhalla,61,M,A1
8,4,Faris Dhar,39,M,A2
9,5,Yatin Dalal,24,M,A1
10,5,Qadim Dalal,19,M,A2
11,6,Victor Bajwa,43,M,A1
12,6,N. Bhasin,39,M,A2
13,7,Chandresh Lata,37,M,A1
14,8,Hiral Ahuja,57,F,A1
15,8,H Sehgal,16,M,A2
16,9,Ethan Krishnamurthy,61,M,A1
17,10,A. Pall,27,M,A1
18,11,Ethan Koshy,34,M,A1
19,12,Tripti Mane,19,F,A1
20,13,M Rao,46,M,A1
21,13,Girik Memon,64,M,A2
22,13,Gopal Hans,31,M,A3
23,14,Bimala Mistry,62,F,A1
24,15,Umang Bedi,16,M,A1
25,16,Charles Ganesh,26,M,A1
26,16,Krishna Mohan,37,M,A2
27,16,Harsh Keer,53,M,A3
28,17,G. Dhingra,25,M,A1
29,17,Samuel Mani,29,M,A2
30,18,T. Mane,18,F,A1
31,18,Jagat Chaudhuri,30,M,A2
32,18,George Sengupta,55,M,A3
33,19,Ojas Palla,56,M,A1
34,19,Panini Shanker,40,F,A2
35,19,Ekalinga Pall,43,M,A3
36,20,Deepa Sandhu,27,F,A1
37,21,Henry Nanda,59,M,A1
38,22,Xavier Baral,20,M,A1
39,22,Mason Ratti,41,M,A2
40,22,Jayraj Chada,29,M,A3
41,22,Qushi Balan,49,F,A4
42,23,L Bora,20,M,A1
43,24,O Sachdev,30,F,A1
44,25,Lucky Kanda,42,M,A1
45,25,Faraj Verma,54,M,A2
46,25,Nil Bhasin,39,M,A3
47,26,Samesh Sachdev,50,M,A1
48,27,T Saxena,38,M,A1
49,27,Vedant Gandhi,62,M,A2
50,27,Avi Ravi,37,M,A3
51,27,Pranit Bir,38,M,A4
52,28,Abeer Sehgal,24,M,A1
53,29,Hemangini De,59,F,A1
54,29,Yashawini Butala,16,F,A2
55,29,Dalbir Date,52,M,A3
56,30,Raghav Bava,55,M,A1
57,30,Nihal Jha,53,M,A2
58,30,Krishna Chokshi,34,M,A3
59,31,Matthew Chauhan,52,M,A1
60,31,Victor Dhar,25,M,A2
61,32,Dakshesh Bava,24,M,A1
62,33,Charles Ganes,27,M,A1
63,33,Nicholas Hans,28,M,A2
64,34,T. Saxena,38,M,A1
65,35,Onveer Lala,41,M,A1
66,35,C De,20,M,A2
67,36,Nikita Naik,55,F,A1
68,37,David Setty,43,M,A1
69,38,Chandran More,18,M,A1
70,38,David Kaul,59,M,A2
71,39,Oscar Jayaraman,16,M,A1
72,40,Varenya Magar,53,F,A1
73,40,D. Gola,49,M,A2
74,40,Oeshi Das,21,F,A3
75,41,Gautam Madan,57,M,A1
76,42,Elijah Verma,45,M,A1
77,42,Rishi Lad,25,M,A2
78,42,Janaki Natt,39,F,A3
79,43,Wahab Pradhan,62,M,A1
80,44,Nil Bhasin,39,M,A1
81,44,Anay Raja,23,M,A2
82,45,Omkaar Ram,16,M,A1
83,46,L Bera,51,M,A1
84,47,Zaid Hari,19,M,A1
85,48,Faris Badami,46,M,A1
86,48,Qasim Pall,26,M,A2
87,48,Rishi Hari,62,M,A3
88,48,Banjeet Sankaran,54,M,A4
89,49,Eiravati Chopra,45,F,A1
90,49,F. Trivedi,20,M,A2
91,50,Eta Badami,37,F,A1
92,51,Dakshesh Gour,42,M,A1
93,52,Rohan ummen,29,M,A1
94,53,J Chada,29,M,A1
95,54,Hardik Sarkar,21,M,A1
96,54,Lakshmi Comar,16,T,A2
97,54,Pratyush Mane,17,M,A3
98,54,T. Saxena,38,M,A4
99,55,Luke Dugar,61,M,A1
100,56,Sathvik Rau,23,M,A1
101,56,Harish Shenoy,40,M,A2
102,57,Nathan Gopal,52,M,A1
103,58,Anmol Sharaf,47,M,A1
104,59,Anmol Saran,59,M,A1
105,59,Aditya Varty,32,M,A2
106,60,Bahadurjit Merchant,40,M,A1
107,61,Krisna Badal,52,M,A1
108,61,Samesh Butala,17,M,A2
109,62,S. Joshi,50,M,A1
110,63,Vihaan Kothari,48,M,A1
111,64,Radhika Sharma,22,F,A1
112,65,Kritika Balay,24,F,A1
113,66,Upkaar Tella,49,M,A1
114,66,Krish Kannan,58,M,A2
115,66,Gautam Dayal,63,M,A3
116,67,Imaran Rege,29,M,A1
117,67,Praneel Palan,47,M,A2
118,68,Ati Majumdar,25,T,A1
119,68,Wazir Ganesan,48,M,A2
120,69,Azad Modi,34,M,A1
121,69,Janya Kapur,35,F,A2
122,69,N. Bhasin,39,M,A3
123,70,Udarsh Deshpande,19,M,A1
124,70,Arjun Jha,58,M,A2
125,71,Samesh Nagi,65,M,A1
126,72,Fitan Dip,28,M,A1
127,73,Warda Nayak,42,F,A1
128,74,Bakhshi Krishnan,22,M,A1
129,74,Harshil Chaudhari,27,M,A2
130,75,S Pillai,46,M,A1
131,76,Owen Lalla,40,M,A1
132,77,Tanish Kamdar,33,M,A1
133,77,Kiaan Aggarwal,54,M,A2
134,78,Gagan Choudhry,48,M,A1
135,79,Ronith Sandal,42,M,A1
136,80,Odika Sachdew,28,F,A1
137,81,Elijah Kala,50,M,A1
138,81,Kabir Sane,41,M,A2
139,81,Wazir Dugal,56,M,A3
140,82,Daksh Rana,35,M,A1
141,83,G. Hans,31,M,A1
142,84,Amaira Bhasin,27,T,A1
143,84,Hritik Ghose,20,M,A2
144,84,Madhav Krishnamurthy,57,M,A3
145,84,Praneel Bhatia,45,M,A4
146,85,Atharv Salvi,50,M,A1
147,85,Guneet Suresh,46,M,A2
148,85,Max Wable,65,M,A3
149,85,Yatin Kata,46,M,A4
150,86,Lucky Kanda,44,M,A1
151,86,Krishna Badal,52,M,A2
152,87,Frado Lal,30,M,A1
153,88,Benjamin Bal,58,M,A1
154,88,Alexander Mutti,16,M,A2
155,89,Christopher De,21,M,A1
156,89,Arjun Nadkarni,64,M,A2
157,89,Warjas Sagar,28,M,A3
158,90,Qadim Garde,57,M,A1
159,91,U Oza,47,F,A1
160,92,Yahwi Talwar,52,F,A1
161,93,Yagnesh Sehgal,65,M,A1
162,94,Champak Sodhi,17,M,A1
163,94,Patrick Manne,35,M,A2
164,94,Nathaniel Barad,36,M,A3
165,95,Luke Hans,48,M,A1
166,95,Manbir Sodhi,45,M,A2
167,95,K. Badal,52,M,A3
168,96,Umang Nair,62,M,A1
169,97,Om Parmer,20,M,A1
170,98,Aayush Mukhopadhyay,58,M,A1
171,99,Daksh Chaudhry,37,M,A1
172,100,Nites Dar,34,M,A1
173,100,Y. Lalla,44,M,A2
174,100,R Mishra,22,M,A3
175,100,Banjeet Hayer,49,M,A4
176,101,R Tiwari,49,M,A1
177,102,Vamakshi Majumdar,29,F,A1
178,103,G Buch,38,M,A1
179,103,Ekapad Kulkarni,30,M,A2
180,103,Vedant Ahluwalia,18,M,A3
181,104,Yash Tak,19,M,A1
182,105,Kabir Purohit,45,M,A1
183,106,D Kala,34,F,A1
184,106,Qabil Karnik,40,M,A2
185,106,Tanay Parsa,40,M,A3
186,107,Quincy Sandal,31,M,A1
187,107,Tanmayi Shukla,56,F,A2
188,108,Jeremiah Bhandari,43,M,A1
189,109,Jatin Chopra,30,M,A1
190,110,Yuvraj Shroff,46,M,A1
191,111,Advik Sarma,34,M,A1
192,111,Jackson Sampat,40,M,A2
193,111,Janya Kapur,33,F,A3
194,111,A Acharya,47,M,A4
195,112,Kiaan Hora,47,M,A1
196,112,Finn Yogi,63,M,A2
197,113,U Oza,47,F,A1
198,114,Faqid Sant,54,M,A1
199,115,Ekalinga Behl,44,M,A1
200,115,Pratyush Arya,24,M,A2
201,116,Patrick Jha,38,M,A1
202,116,L Kanda,40,M,A2
203,117,Rishi Misra,22,M,A1
204,118,Watika Rastogi,45,F,A1
205,118,Samuel Sahni,38,M,A2
206,119,Reyansh Raman,45,M,A1
207,119,Ekiya Prabhakar,42,F,A2
208,120,Gaurav Kata,49,M,A1
209,120,C Sangha,23,M,A2
210,121,F Sathe,42,M,A1
211,122,Lucky Nayak,45,M,A1
212,123,F. Trivedi,20,M,A1
213,124,Nitesh Seth,24,M,A1
214,125,Maanav Vyas,26,M,A1
215,125,Dalbir Barad,19,M,A2
216,126,Pallavi Kapur,42,T,A1
217,127,M. Varkey,42,M,A1
218,128,Dakshesh Bava,24,M,A1
219,128,Faris Prasad,57,M,A2
220,128,Gaurangi Nagy,54,F,A3
221,128,N Dar,34,M,A4
222,129,Jairaj Sama,23,M,A1
223,130,Lajita Dyal,57,F,A1
224,130,Arjun Jha,57,M,A2
225,131,Samuel Modi,20,M,A1
226,131,Om Venkataraman,24,M,A2
227,131,Jason Sawhney,20,M,A3
228,132,Qushi Shroff,18,F,A1
229,132,Vedhika Jhaveri,43,F,A2
230,132,Vamakshi Chauhan,49,F,A3
231,132,B Muni,21,F,A4
232,133,Ekavir Borde,54,M,A1
233,134,Daniel Lad,17,M,A1
234,134,M. Dube,39,F,A2
235,135,Harish Sehgal,18,M,A1
236,135,Warda Tripathi,20,F,A2
237,136,Ikbal Kota,64,M,A1
238,136,Ikbal Mukhopadhyay,38,M,A2
239,136,Finn Shan,19,M,A3
240,137,Andrew Vohra,38,M,A1
241,138,Gaurangi Nagy,54,F,A1
242,139,Yagnesh Bali,50,M,A1
243,140,Saksham Bhatia,63,M,A1
244,140,M. Rao,46,M,A2
245,140,Kiaan Prabhakar,54,M,A3
246,140,Yuwraj Lalla,44,M,A4
247,141,Zashil Narain,20,M,A1
248,142,C. Parekh,23,M,A1
249,143,Chatresh De,31,M,A1
250,143,Gauri kare,56,F,A2
251,144,Rohan Swamy,56,M,A1
252,145,Bimala Korpal,26,F,A1
253,145,Tanish Anne,60,M,A2
254,145,Girish Solanki,54,M,A3
255,145,Faraj Sathe,43,M,A4
256,146,Krishna Dugal,45,M,A1
257,146,Adya Goel,47,F,A2
258,147,A. Ghose,26,M,A1
259,148,Lakshit Chawla,45,M,A1
