ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Idika Lal,61.0,2.0,5,1,F
2,2,Maya Goyal,30.0,9.0,4,5,F
3,3,Yutika Zachariah,,10.0,5,5,F
4,4,Yutika Ravel,74.0,2.0,4,4,F
5,5,Warjas Goel,46.0,1.0,1,2,M
6,6,Qushi Karpe,23.0,,3,1,F
7,7,Dayita Bassi,31.0,4.0,5,1,F
8,8,Frederick Kapadia,72.0,3.0,5,2,M
9,9,Jai Purohit,62.0,11.0,4,5,M
10,10,Samesh Walla,65.0,11.0,6,1,M
11,11,Qabil Biswas,27.0,2.0,1,5,M
12,12,Yutika Das,42.0,9.0,2,5,F
13,13,Girindra Barad,30.0,5.0,6,5,M
14,14,Theodore Varma,34.0,7.0,2,5,M
15,15,Rushil Uppal,28.0,8.0,3,1,M
16,16,Viraj Bath,59.0,9.0,1,2,M
17,17,Madhavi Halder,70.0,9.0,7,4,F
18,18,Shivansh Pradhan,18.0,4.0,4,5,M
19,19,Vihaan Borde,30.0,5.0,3,4,M
20,20,Janya Kumer,43.0,,2,1,F
21,21,Abeer Dave,42.0,9.0,5,2,M
22,22,Odika Magar,63.0,1.0,6,4,F
23,23,Rohan Mukhopadhyay,52.0,,3,2,M
24,23,Viraj Majumdar,28.0,1.0,3,4,M
25,24,Vanya Patil,46.0,2.0,2,3,F
26,24,Samesh Sarkar,18.0,3.0,2,4,M
27,25,Gautam Kala,42.0,,3,4,M
28,26,Arin Pandya,33.0,10.0,2,1,M
29,27,Arjun Pai,47.0,8.0,4,5,M
30,28,Krish Magar,31.0,1.0,3,3,M
31,28,Ryan Som,,,3,3,M
32,29,Devika Venkataraman,53.0,3.0,6,4,F
33,30,Gagan Lalla,23.0,4.0,6,1,M
34,31,Omya Bhargava,25.0,1.0,7,5,F
35,32,Aarush Choudhry,65.0,10.0,5,3,M
36,33,Nidra Virk,48.0,4.0,6,5,F
37,34,Falguni Sachdeva,63.0,7.0,5,3,F
38,35,Guneet Gala,18.0,3.0,3,1,M
39,36,Neha Kunda,67.0,9.0,5,5,F
40,37,Harita Bumb,70.0,8.0,4,5,F
41,38,Wahab Johal,37.0,3.0,4,3,M
42,39,Divya Venkataraman,65.0,9.0,3,3,F
43,40,Tristan Khosla,18.0,8.0,4,2,M
44,41,Vasudha Butala,61.0,,4,5,F
45,42,Deepa Jhaveri,34.0,4.0,1,4,F
46,43,Anusha Kannan,58.0,2.0,3,5,F
47,44,Harish Kakar,43.0,3.0,4,5,M
48,45,Noah Varkey,60.0,1.0,7,3,M
49,46,Aadi Nanda,58.0,7.0,7,3,M
50,47,Champak Parikh,46.0,9.0,5,2,M
51,48,Shaurya Sarna,19.0,,3,3,M
52,49,Sai Madan,39.0,3.0,1,4,F
53,50,Mason Raju,24.0,9.0,3,1,M
54,51,Maanav Dani,27.0,6.0,7,2,M
55,52,Gayathri Narang,74.0,10.0,3,1,F
56,53,Amaira Sinha,71.0,6.0,5,4,F
57,54,Chaman Muni,24.0,3.0,7,3,F
58,55,Veda Sur,49.0,3.0,3,4,F
59,56,Reyansh Pandey,20.0,4.0,7,4,M
60,57,Abhiram Sawhney,18.0,5.0,4,2,M
61,58,Siddharth Nagar,28.0,5.0,1,5,M
62,59,Kiaan Sanghvi,67.0,11.0,3,2,M
63,60,Osha Kala,63.0,9.0,2,4,F
64,61,Jagat Dyal,54.0,4.0,7,1,M
65,62,Arunima Garde,56.0,5.0,1,5,F
66,63,Meera Nazareth,22.0,11.0,6,1,F
67,64,Anirudh Jaggi,58.0,11.0,5,4,M
68,65,Odika Shan,21.0,8.0,2,1,F
69,66,Umang Bassi,47.0,4.0,2,1,M
70,67,Anirudh Vig,43.0,9.0,6,3,M
71,68,Harinakshi Sur,,11.0,7,1,F
72,68,Meghana Dugar,18.0,8.0,4,2,F
73,69,Jagvi Patla,54.0,6.0,2,5,F
74,70,Kavya Subramanian,34.0,,7,4,F
75,71,Pranit Mohan,23.0,4.0,2,4,M
76,72,Jeevika Ranganathan,52.0,11.0,5,4,F
77,73,Rachana Sastry,61.0,11.0,3,3,F
78,74,Anvi Menon,63.0,9.0,6,4,F
79,75,Leela Reddy,29.0,9.0,3,5,F
80,76,Gagan Murthy,23.0,1.0,1,3,M
81,77,Maya Keer,44.0,8.0,2,1,F
82,78,Aachal Wali,34.0,5.0,1,3,F
83,79,Ojasvi Baria,71.0,1.0,2,5,F
84,80,Gabriel Hayer,21.0,2.0,7,4,M
85,81,Pratyush Chawla,39.0,1.0,1,4,M
86,81,Falak Dash,27.0,9.0,6,3,F
87,82,Isha Anne,28.0,5.0,3,4,F
88,83,Kala Mohan,64.0,8.0,6,2,F
89,84,Chanakya Khosla,28.0,2.0,5,5,M
90,84,Aadhya Chahal,35.0,4.0,2,3,F
91,85,Krisha Radhakrishnan,43.0,2.0,3,5,F
92,86,Veda Manne,60.0,2.0,1,5,T
93,87,Ekalinga Rattan,54.0,10.0,7,5,M
94,88,Mitali Nagi,20.0,2.0,2,2,F
95,89,Madhavi Ranganathan,36.0,3.0,4,2,F
96,90,Victor Mall,69.0,4.0,4,3,M
97,91,Logan Mangat,56.0,6.0,1,3,M
98,92,Jairaj Desai,46.0,,3,4,M
99,93,Upadhriti Vyas,41.0,7.0,6,2,F
100,94,Vedhika Sahni,56.0,,1,1,F
101,95,Dhruv Salvi,56.0,1.0,1,1,M
102,95,Dayamai Bava,,,7,3,F
103,96,Adweta Borah,64.0,9.0,6,5,F
104,97,Varenya Mannan,59.0,7.0,4,5,F
105,98,Dayamai Kamdar,28.0,6.0,4,5,T
106,98,Lakshmi Boase,53.0,11.0,6,3,F
107,99,Parth Bansal,37.0,4.0,3,5,M
108,100,Balhaar Raja,73.0,11.0,5,5,M
109,101,Imaran Dugar,,6.0,4,1,M
110,102,Darpan Hans,52.0,2.0,4,2,M
111,103,Zilmil Kamdar,70.0,7.0,5,5,F
112,104,Thomas Dasgupta,69.0,9.0,2,4,M
113,104,Odika Munshi,34.0,8.0,2,3,F
114,105,Veda Lanka,63.0,1.0,2,5,F
115,106,Alexander Pathak,60.0,10.0,3,1,M
116,107,Qabil Kara,41.0,3.0,4,2,M
117,108,Maanav Dora,35.0,8.0,1,1,M
118,109,Aarav Pathak,31.0,4.0,1,5,M
119,110,Yadavi Ravi,22.0,1.0,2,1,F
120,111,Meera Bose,60.0,10.0,5,5,F
121,112,Lila Garde,52.0,5.0,4,4,F
122,113,Raghav Kumar,70.0,4.0,1,3,M
123,114,Mason Parekh,72.0,5.0,4,2,M
124,114,Aahana Sethi,60.0,4.0,3,4,F
125,115,Pushti Kota,26.0,8.0,5,4,F
126,116,Tanveer Gour,57.0,8.0,4,5,M
