EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,1,32,7,2,KGID100001,Hemang,1985-01-14,M,B+,0,2005-04-18
2,1,32,7,5,KGID100002,Hemang,2000-04-25,M,A+,0,2024-02-10
3,1,32,10,2,KGID100003,Jonathan,1969-04-12,M,A-,0,2013-12-22
4,1,32,7,6,KGID100004,Shaurya,1994-10-01,M,A-,0,2002-09-10
5,1,32,10,1,KGID100005,Ayaan,1973-08-01,M,O-,0,2010-11-11
6,1,32,10,2,KGID100006,Arjun,1992-07-14,M,B+,0,1998-05-02
7,1,32,10,1,KGID100007,Tanay,1988-11-23,M,O+,0,2018-12-11
8,1,32,6,6,KGID100008,Zayan,1969-06-23,M,AB+,0,1999-11-16
9,1,32,10,5,KGID100009,Jagvi,1987-05-20,F,O+,0,2006-05-03
10,1,32,6,5,KGID100010,Karan,1973-02-01,M,B+,0,2014-10-31
11,1,32,10,3,KGID100011,Zaid,1994-03-03,M,A+,0,2003-05-04
12,1,32,10,4,KGID100012,Vedhika,2002-05-23,F,B-,0,2001-11-14
13,1,32,10,6,KGID100013,Ayushman,1970-07-06,M,O+,0,2001-08-09
14,1,32,10,6,KGID100014,Akshay,1969-01-07,M,B+,0,2021-02-25
15,1,32,9,3,KGID100015,Krishna,1994-11-03,M,B-,0,2020-09-11
16,1,32,10,1,KGID100016,Atharv,2003-03-31,M,B+,0,2008-06-19
17,1,32,10,1,KGID100017,Yauvani,2003-06-13,F,B+,0,2000-04-10
18,1,32,7,2,KGID100018,Kai,1996-06-04,M,B-,0,2001-09-23
19,1,33,10,2,KGID100019,Theodore,1977-04-11,M,B-,0,2019-01-12
20,1,33,9,5,KGID100020,Abhimanyu,1968-11-05,M,AB+,0,1996-08-23
21,1,33,10,4,KGID100021,Edhitha,1998-01-07,F,A+,0,2000-02-04
22,1,33,10,2,KGID100022,Unni,1994-10-15,F,O-,0,2008-06-13
23,1,33,10,5,KGID100023,Gautam,1997-10-08,M,AB+,0,2011-09-14
24,1,33,6,1,KGID100024,Xalak,1991-01-20,F,B-,0,2013-04-04
25,1,33,9,3,KGID100025,Gaurav,1995-03-30,M,O-,0,2024-04-07
26,1,33,10,4,KGID100026,Samarth,1984-09-12,M,A+,0,2002-07-03
27,1,33,10,5,KGID100027,Anusha,1995-12-11,F,O-,0,1998-08-14
28,1,33,6,3,KGID100028,Damyanti,1986-01-22,F,O-,0,1997-04-20
29,1,33,10,2,KGID100029,Avi,2000-04-03,M,A-,0,2000-08-29
30,1,33,6,5,KGID100030,Oviya,1980-07-18,F,O+,0,2015-11-24
31,1,33,10,3,KGID100031,Michael,1974-04-13,M,B+,0,2022-09-24
32,1,33,6,1,KGID100032,Oviya,1977-07-09,F,B-,0,2000-09-18
33,1,33,7,2,KGID100033,Yash,1998-12-31,M,B+,0,2019-04-02
34,1,33,10,5,KGID100034,Oni,1970-05-02,F,O-,0,2000-04-28
35,1,33,6,6,KGID100035,Bina,1970-02-04,F,B-,0,2024-07-20
36,1,33,5,6,KGID100036,Tanish,1968-10-02,M,O+,0,2021-10-08
37,1,34,10,1,KGID100037,Ethan,1996-09-07,M,O+,0,1999-01-08
38,1,34,9,1,KGID100038,Kalpit,1982-03-23,M,A+,0,2024-12-15
39,1,34,10,1,KGID100039,Kai,1975-11-14,M,O-,0,2014-08-18
40,1,34,10,4,KGID100040,Hritik,1982-01-03,M,B+,0,1997-07-28
41,1,34,6,5,KGID100041,Tanveer,1995-08-26,M,AB+,0,2012-08-11
42,1,34,10,1,KGID100042,Devansh,2001-10-08,M,A+,0,2021-08-16
43,1,34,10,6,KGID100043,Henry,1976-04-02,M,A+,0,2010-12-19
44,1,34,10,4,KGID100044,Janya,1992-03-26,F,B-,0,2016-08-13
45,1,34,10,2,KGID100045,Bhavna,2001-02-18,F,A-,0,2003-03-03
46,1,34,10,2,KGID100046,Brijesh,1979-03-21,M,O-,0,2009-10-23
47,1,34,6,5,KGID100047,Kiaan,1969-02-19,M,A+,0,2018-05-06
48,1,34,6,1,KGID100048,Yashoda,1996-05-06,F,O-,0,2021-01-23
49,1,34,9,2,KGID100049,Nakul,1975-01-27,M,O-,0,2010-07-12
50,1,34,10,4,KGID100050,Farhan,1967-11-11,M,O+,0,2011-10-06
51,1,34,10,6,KGID100051,Faras,1991-08-08,M,B-,1,2011-01-12
52,1,34,7,2,KGID100052,Vedant,1988-11-21,M,B+,0,2001-07-29
53,1,35,9,6,KGID100053,Lakshit,1986-03-22,M,O+,0,2016-09-27
54,1,35,9,5,KGID100054,Wazir,1990-02-05,M,B+,0,2018-12-09
55,1,35,6,1,KGID100055,Aayush,1981-05-26,M,A-,0,2017-02-08
56,1,35,10,5,KGID100056,Upadhriti,1986-04-21,F,B+,0,2016-12-14
57,1,35,10,6,KGID100057,Rachit,1968-02-11,M,A-,0,1998-10-16
58,1,35,10,6,KGID100058,Faraj,1992-01-08,M,B-,0,2012-12-18
59,1,35,10,6,KGID100059,Mason,1995-08-10,M,O+,0,2005-11-07
60,1,35,6,1,KGID100060,Omaja,1969-03-19,F,AB+,0,2017-09-04
61,1,36,10,2,KGID100061,Lajita,1973-12-12,F,A-,0,2012-06-01
62,1,36,6,2,KGID100062,Vrinda,1973-05-07,F,O+,0,2025-04-11
63,1,36,9,3,KGID100063,Ishwar,1990-07-11,M,A-,1,2000-08-11
64,1,36,9,6,KGID100064,Megha,1988-12-25,F,O-,0,2001-09-24
65,1,36,10,2,KGID100065,Dayamai,1984-06-23,F,O+,0,2007-05-24
66,1,36,9,3,KGID100066,Hredhaan,1997-08-13,M,O+,0,2008-07-22
67,1,36,10,6,KGID100067,Falan,1988-08-09,M,O-,0,2014-08-29
68,1,36,6,1,KGID100068,Manthan,1972-04-23,M,A+,0,2023-11-04
69,1,36,10,3,KGID100069,Ekaja,2003-02-27,F,O-,0,2012-10-08
70,1,36,10,4,KGID100070,Indira,1985-08-23,F,A-,0,2019-07-02
71,1,36,10,6,KGID100071,Saksham,1969-11-10,M,B+,0,2006-10-30
72,1,36,9,2,KGID100072,Riya,1980-08-27,F,AB+,0,2003-04-19
73,1,36,6,1,KGID100073,Rayaan,1970-07-30,M,O+,0,2005-04-28
74,1,36,10,5,KGID100074,Frederick,1973-12-07,M,O-,0,2005-06-23
75,1,36,10,2,KGID100075,Laksh,1997-04-28,M,O-,0,1999-12-01
76,1,36,10,4,KGID100076,Jeremiah,1980-12-27,M,A+,0,2014-06-22
77,1,36,7,4,KGID100077,Warhi,1983-06-06,F,O-,0,1997-10-14
78,1,37,10,6,KGID100078,Zansi,1989-04-21,F,A+,0,1999-06-12
79,1,37,9,2,KGID100079,Farhan,2001-06-28,M,O-,0,2018-06-01
80,1,37,6,2,KGID100080,Owen,1983-05-16,M,B+,0,2025-05-07
81,1,37,10,1,KGID100081,Kabir,1971-07-24,M,O-,0,2019-08-04
82,1,37,10,5,KGID100082,Champak,1968-01-27,M,O+,0,2015-07-06
83,1,37,5,2,KGID100083,Nathan,1970-05-10,M,A-,0,2012-08-27
84,1,37,10,4,KGID100084,Vivaan,1979-06-03,M,O+,0,2006-02-12
85,1,37,9,5,KGID100085,Samesh,1985-01-22,M,A+,0,2009-10-16
86,1,37,10,6,KGID100086,Hritik,1982-11-13,M,AB+,0,2004-03-22
87,1,37,9,6,KGID100087,Chakrika,1969-02-21,F,B-,0,2003-04-10
88,1,37,10,6,KGID100088,Advaith,1975-03-24,M,O+,0,2010-07-01
89,1,37,10,3,KGID100089,Aarav,2002-09-01,M,A-,0,2002-01-12
90,1,37,10,3,KGID100090,Michael,1974-07-21,M,A-,0,2003-07-10
91,1,37,6,6,KGID100091,Ekaraj,1996-07-15,M,B-,0,2012-07-03
92,1,37,10,5,KGID100092,Qabil,1996-10-29,M,O-,0,2017-11-12
93,1,37,10,5,KGID100093,Aryan,1999-05-18,M,A-,0,2012-12-10
94,1,37,10,2,KGID100094,Patrick,1975-03-21,M,A-,0,2019-02-07
95,1,37,7,2,KGID100095,Reva,2000-12-21,F,B-,0,2008-04-09
96,1,37,9,3,KGID100096,Ekansh,1970-01-23,M,A+,0,2018-03-02
97,1,38,10,2,KGID100097,Aadi,1986-02-14,M,B+,0,2018-10-06
98,1,38,9,1,KGID100098,Rohan,2002-05-22,M,AB+,0,2016-07-19
99,1,38,10,6,KGID100099,Gopal,1984-09-28,M,AB+,0,2015-11-18
100,1,38,7,1,KGID100100,Quincy,1983-10-29,M,O-,0,2006-06-23
101,1,38,7,2,KGID100101,Yashoda,1967-08-30,F,B+,0,2015-07-20
102,1,38,9,5,KGID100102,Harshil,1989-04-29,M,B+,0,2010-05-16
103,1,38,10,4,KGID100103,David,1989-02-13,M,B-,0,2006-10-17
104,1,38,10,4,KGID100104,Pranav,1990-07-11,M,A-,0,2011-01-18
105,1,38,10,5,KGID100105,Sai,1973-08-12,F,AB+,0,2007-06-16
106,1,38,9,3,KGID100106,Gautam,1984-09-12,M,O-,0,2005-02-28
107,1,38,7,5,KGID100107,Bachittar,1976-12-24,M,AB+,0,2014-10-28
108,1,38,10,3,KGID100108,Oliver,1979-07-05,M,B+,0,2003-08-08
109,1,38,9,2,KGID100109,Mohammed,1994-09-12,M,B+,0,2006-07-03
110,1,38,7,1,KGID100110,Charles,1982-08-31,M,AB+,0,2023-01-18
111,1,38,10,2,KGID100111,Wridesh,1991-10-31,M,O-,0,1998-12-25
112,1,38,9,6,KGID100112,Bhavya,1997-07-12,F,A+,0,2020-11-14
113,1,38,10,1,KGID100113,Ekbal,1974-09-25,M,O+,0,2022-09-06
114,1,38,6,4,KGID100114,Ryan,1987-06-08,M,A-,0,2019-02-12
115,1,38,9,2,KGID100115,Quincy,1976-07-18,M,AB+,0,2007-11-21
116,1,38,10,3,KGID100116,Ishwar,1982-03-21,M,B-,0,2013-11-15
117,1,39,6,2,KGID100117,David,1975-01-07,M,A-,0,2013-11-26
118,1,39,9,6,KGID100118,Dhriti,1973-10-11,F,A+,0,2010-11-30
119,1,39,6,2,KGID100119,Farhan,1988-07-29,M,A+,0,2017-07-12
120,1,39,9,3,KGID100120,Chanakya,1989-04-23,M,O-,0,1999-08-09
121,1,39,5,4,KGID100121,Oliver,1982-09-24,M,O+,0,2014-09-07
122,1,39,7,1,KGID100122,Quincy,1986-10-08,M,O+,0,2001-08-08
123,1,39,5,1,KGID100123,Ranveer,2002-11-15,M,O-,0,2001-05-12
124,1,39,6,5,KGID100124,Theodore,1990-08-04,M,B+,0,2000-07-08
125,1,39,10,2,KGID100125,Champak,1967-12-26,M,AB+,0,2022-12-13
126,1,39,10,5,KGID100126,Banjeet,1969-01-22,M,B-,0,2006-07-31
127,1,39,10,3,KGID100127,Orinder,1970-02-09,M,A+,0,2001-07-08
128,1,39,9,4,KGID100128,Manya,1974-03-23,F,AB+,0,2014-09-03
129,1,39,9,6,KGID100129,Pratyush,1997-06-22,M,B+,0,2004-12-31
130,1,39,6,5,KGID100130,Peter,2001-06-02,M,O-,0,2004-09-26
131,1,40,10,4,KGID100131,Ishwar,1991-04-05,M,B-,0,2013-06-09
132,1,40,10,4,KGID100132,Teerth,1982-08-17,M,O-,0,2004-11-05
