VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Dhriti Parmer,39,F,0
2,1,Lopa Lalla,19,F,0
3,1,Yoshita Nagarajan,34,F,0
4,2,Arunima Vig,20,T,0
5,3,Aryan Manda,62,M,0
6,5,Onveer Dube,36,M,0
7,6,Geetika Karpe,43,F,0
8,7,Varenya Gole,44,T,0
9,8,Daksh Manda,37,M,0
10,9,Hitesh Lata,6,M,0
11,10,Simon Shroff,38,M,0
12,11,Tejas Bahri,79,M,0
13,12,Tarak Soni,66,M,0
14,13,Amruta Madan,12,F,0
15,15,Nirja Warrior,21,F,0
16,16,Lucky Comar,3,M,0
17,16,Aarna Dara,37,F,0
18,17,Falak Baral,46,F,0
19,17,Darika Lad,54,F,0
20,17,Hamsini Choudhury,70,F,0
21,18,Sai Koshy,73,M,0
22,19,Liam Oommen,15,M,0
23,20,Nakul Lall,6,M,0
24,20,Hamsini Sarin,64,F,0
25,21,Azaan Modi,5,M,0
26,21,Frado Halder,70,M,0
27,23,Gaurav Vaidya,14,M,0
28,24,Hamsini De,5,F,0
29,25,Neha Rout,2,F,0
30,25,Jalsa Deshpande,44,F,0
31,26,Vedhika Nayar,83,F,0
32,27,Yashodhara Sabharwal,83,F,0
33,28,Rachita Suresh,24,F,0
34,29,Arunima Thakkar,64,F,0
35,30,Hemang Rastogi,29,M,0
36,30,Gaurika Dyal,43,F,0
37,31,Ikbal Wable,71,M,0
38,31,Madhav Sheth,39,M,0
39,33,Yashawini Tiwari,84,F,0
40,34,Girish Pandit,39,M,0
41,36,Bimala Nori,37,F,0
42,37,Zilmil Saha,39,F,0
43,38,Prisha Dash,33,F,0
44,38,Chameli Aurora,43,T,0
45,39,Harshil Prabhu,12,M,0
46,41,Kala Pathak,31,F,0
47,41,Hemal Choudhary,56,F,0
48,42,Hemangini Kala,23,F,0
49,43,Lucky Kumar,12,M,0
50,43,Maya Sawhney,6,T,0
51,43,Radha Aurora,73,F,0
52,45,Chanakya Jain,42,M,0
53,46,Ati Karan,80,F,0
54,47,Reyansh Hora,36,M,0
55,47,Vivaan Bhattacharyya,41,M,0
56,49,Amrita Sawhney,50,F,0
57,50,Naksh Saran,44,M,0
58,53,Yochana Verma,9,F,0
59,54,Manan Batta,21,M,0
60,54,Luke Goel,4,M,0
61,55,Oni Gaba,52,F,0
62,56,Aryan Narula,78,M,0
63,57,Yashica Banerjee,36,F,0
64,58,Sneha Sur,57,F,0
65,59,Warhi Mandal,63,F,0
66,60,Warda Singhal,11,F,0
67,60,Avi Nagy,40,M,0
68,61,Aditya Jani,16,M,0
69,62,Ishaan Sodhi,28,M,0
70,63,Saumya Vasa,41,F,0
71,63,Karan Char,80,M,0
72,64,Chandani Padmanabhan,63,F,1
73,65,Amrita Jayaraman,23,F,0
74,66,Nirja Reddy,15,F,0
75,66,Mitali De,67,F,0
76,67,Sarthak Sarin,81,M,0
77,68,Anmol Narain,38,M,0
78,69,Amol Dasgupta,22,M,0
79,70,Vedant Mital,58,M,0
80,71,Leena Pillay,25,F,0
81,73,Anita Sule,25,F,0
82,73,Adya Naik,18,T,0
83,73,Samesh Bajaj,75,M,0
84,74,Arunima Baral,2,F,0
85,74,Devika Nayar,65,F,0
86,75,Manan Nagar,43,M,0
87,76,Edhitha Deol,6,F,0
88,77,Hemal Swamy,16,F,0
89,78,Jacob Dada,40,M,0
90,79,Yashasvi Tandon,57,F,0
91,80,Adweta Mammen,42,F,0
92,80,Mitali Sagar,70,F,0
93,81,Mohini Anand,13,F,0
94,82,Isaiah Nazareth,84,M,0
95,83,Deepa Prasad,69,F,0
96,83,Sathvik Kar,84,M,0
97,84,Ekavir Hari,49,M,0
98,85,Chanakya Keer,2,M,0
99,86,Abdul Pandey,31,M,0
100,87,Barkha Chawla,6,F,0
101,88,Joshua Raman,22,M,0
102,90,Oliver Hari,66,M,0
103,90,Yashoda Amble,17,F,0
104,91,Ikbal Murthy,80,M,0
105,92,Devansh Ghosh,52,M,0
106,93,Baljiwan Swamy,32,M,0
107,94,Laban Mital,56,M,0
108,95,Divya Parmar,67,T,0
109,96,Orinder Bhatti,21,M,0
110,97,Wazir Bail,14,M,0
111,98,Darpan Gupta,7,M,0
112,99,Fitan Shetty,36,M,0
113,100,Rohan Majumdar,43,M,0
114,101,Vyanjana Mammen,75,F,0
115,103,Siya Varghese,13,F,0
116,104,Ijaya Brar,75,F,0
117,105,Ekansh Patil,14,M,0
118,107,Charles Chopra,4,M,0
119,108,Libni Salvi,54,F,0
120,109,Brijesh Mistry,67,M,0
121,109,Tarak Verma,30,M,0
122,110,Naksh Koshy,55,M,0
123,111,Tarak Sem,10,M,0
124,111,Amrita Oommen,67,F,0
125,112,Anjali Bhalla,32,F,0
126,112,Jonathan Warrior,40,M,0
127,113,Praneel Deep,80,M,0
128,113,Yatan Issac,83,M,0
129,114,Sathvik Sha,55,M,0
130,115,Kashish Pal,5,F,0
131,116,Praneel Prabhakar,77,M,0
132,117,Vihaan Nori,74,M,0
133,118,Omaja Dave,27,F,0
134,119,Madhav Wable,16,M,0
135,120,Jagrati Virk,37,F,0
136,121,Sanya Nigam,78,F,0
137,121,Zilmil Varkey,79,F,0
138,121,Varsha Venkataraman,66,F,0
139,122,Darika Borah,45,F,0
140,123,Raksha Aggarwal,63,F,0
141,123,Triveni Lall,29,F,0
142,124,Gagan Vyas,70,M,0
143,125,Suhani Chander,13,F,0
144,126,Yuvraj Murthy,14,M,0
145,127,Kamala Apte,56,F,0
146,128,Girik Roy,17,M,0
147,129,Ansh Raval,5,M,0
148,130,Krishna Batta,17,M,0
149,130,Noah Butala,62,M,0
150,131,Krishna Srivastava,66,F,0
151,132,Harita Pradhan,10,F,0
152,133,Turvi Ghosh,7,F,0
153,134,Harish Ramesh,28,M,0
154,135,Damyanti Kibe,80,F,0
155,136,Adweta Nagarajan,24,F,0
156,137,Lucky Tata,2,M,0
157,138,Laksh Rout,76,M,0
158,138,Mohini Patla,45,T,0
159,138,Lakshit Nair,60,M,0
160,139,Lipika Jayaraman,81,F,0
161,140,Mitali Varughese,81,F,0
162,141,Nathan Garg,18,M,0
163,142,Baljiwan Sarma,28,M,0
164,143,Mohini Varghese,36,F,0
165,143,Manbir Jhaveri,61,M,0
166,144,Amrita Patel,73,F,0
167,145,Pranit Dada,31,M,0
168,146,Hitesh Walia,81,M,0
169,147,Liam Doctor,3,M,0
170,147,Hemani Basu,55,F,0
171,147,Parth Joshi,81,M,0
172,149,Hamsini Thakur,46,F,0
173,150,Shivansh Balakrishnan,67,M,0
174,150,Neha Bumb,24,F,0
175,150,Rayaan D’Alia,69,M,0
176,151,Chasmum Kohli,63,F,0
177,152,Utkarsh Jaggi,4,M,0
178,153,Jagvi Sinha,74,F,0
179,155,Dalbir Ramaswamy,11,M,0
180,156,Aarna Thakur,16,F,0
181,156,Ria Pillai,24,F,0
182,157,Anika Sachdeva,80,F,0
183,157,Vincent Rajan,85,M,0
184,158,Anita Kanda,62,T,0
185,159,Baljiwan Varty,49,M,0
186,160,Watika Nagarajan,59,F,0
187,161,Wridesh Lala,54,M,0
188,162,Qushi Malhotra,84,F,0
189,162,Vinaya Sharaf,58,F,0
190,163,Widisha Sarraf,83,F,0
191,166,Janani Mohan,22,F,0
192,166,Shivani Basu,54,F,0
193,166,Keya Hora,85,F,0
194,167,Chaaya Handa,72,F,0
195,167,Sudiksha Mitter,70,F,0
196,167,Yochana Nanda,42,F,0
197,168,Meghana Bali,37,F,0
198,169,Zansi Kala,71,F,0
199,170,Keya Raja,85,F,0
200,170,Udyati Sarin,40,F,0
201,171,Garima Wason,67,F,0
202,172,Aadi Ram,51,M,0
203,173,Yauvani Sani,40,F,0
204,174,Shaurya Bhakta,44,M,0
205,175,Chandresh Manne,9,M,0
206,175,Ayaan Modi,51,M,0
207,175,Lila Garg,41,F,0
208,177,Kevin Pant,58,M,0
