person_master_id,AccusedMasterID,CaseMasterID,recorded_name,true_name
1778,2,2,Laban Bera,Laban Bera
1058,9,5,Yatin Dalal,Yatin Dalal
1508,10,5,Qadim Dalal,Qadim Dalal
887,12,6,N. Bhasin,Neel Bhasin
938,15,8,H Sehgal,Harish Sehgal
1446,17,10,A. Pall,Anay Pall
1077,19,12,Tripti Mane,Tripti Mane
754,20,13,M Rao,Matthew Rao
1352,22,13,Gopal Hans,Gopal Hans
931,25,16,Charles Ganesh,Charles Ganesh
616,28,17,G. Dhingra,Girindra Dhingra
425,29,17,Samuel Mani,Samuel Mani
1077,30,18,T. Mane,Tripti Mane
1270,40,22,Jayraj Chada,Jairaj Chada
1713,42,23,L Bora,Laksh Bora
1279,43,24,O Sachdev,Odika Sachdev
692,44,25,Lucky Kanda,Lucky Kanda
887,46,25,Nil Bhasin,Neel Bhasin
134,48,27,T Saxena,Tristan Saxena
457,61,32,Dakshesh Bava,Dakshesh Bava
931,62,33,Charles Ganes,Charles Ganesh
134,64,34,T. Saxena,Tristan Saxena
385,66,35,C De,Christopher De
54,69,38,Chandran More,Chandran More
463,73,40,D. Gola,Dalbir Gola
887,80,44,Nil Bhasin,Neel Bhasin
1778,83,46,L Bera,Laban Bera
497,86,48,Qasim Pall,Qasim Pall
1667,90,49,F. Trivedi,Faqid Trivedi
186,93,52,Rohan ummen,Rohan Oommen
1270,94,53,J Chada,Jairaj Chada
134,98,54,T. Saxena,Tristan Saxena
758,106,60,Bahadurjit Merchant,Bahadurjit Merchant
1715,107,61,Krisna Badal,Krishna Badal
1490,109,62,S. Joshi,Sai Joshi
155,121,69,Janya Kapur,Janya Kapur
887,122,69,N. Bhasin,Neel Bhasin
187,124,70,Arjun Jha,Arjun Jha
952,126,72,Fitan Dip,Fitan Deep
815,130,75,S Pillai,Shaurya Pillai
1279,136,80,Odika Sachdew,Odika Sachdev
734,138,81,Kabir Sane,Kabir Sane
152,139,81,Wazir Dugal,Wazir Dugal
1352,141,83,G. Hans,Gopal Hans
554,144,84,Madhav Krishnamurthy,Madhav Krishnamurthy
770,147,85,Guneet Suresh,Guneet Suresh
692,150,86,Lucky Kanda,Lucky Kanda
1715,151,86,Krishna Badal,Krishna Badal
385,155,89,Christopher De,Christopher De
1436,159,91,U Oza,Ubika Oza
988,160,92,Yahwi Talwar,Yahvi Talwar
1715,167,95,K. Badal,Krishna Badal
66,172,100,Nites Dar,Nitesh Dar
991,173,100,Y. Lalla,Yuvraj Lalla
222,174,100,R Mishra,Ranbir Mishra
993,176,101,R Tiwari,Reyansh Tiwari
230,177,102,Vamakshi Majumdar,Vamakshi Majumdar
177,178,103,G Buch,Guneet Buch
1154,183,106,D Kala,Dhriti Kala
452,192,111,Jackson Sampat,Jackson Sampath
155,193,111,Janya Kapur,Janya Kapur
328,194,111,A Acharya,Azaan Acharya
1436,197,113,U Oza,Ubika Oza
692,202,116,L Kanda,Lucky Kanda
1733,209,120,C Sangha,Chaitanya Sangha
1671,210,121,F Sathe,Faraj Sathe
1667,212,123,F. Trivedi,Faqid Trivedi
863,213,124,Nitesh Seth,Nitesh Seth
47,217,127,M. Varkey,Michael Varkey
457,218,128,Dakshesh Bava,Dakshesh Bava
783,220,128,Gaurangi Nagy,Gaurangi Nagy
66,221,128,N Dar,Nitesh Dar
187,224,130,Arjun Jha,Arjun Jha
1332,226,131,Om Venkataraman,Om Venkataraman
555,231,132,B Muni,Bhanumati Muni
1416,234,134,M. Dube,Maya Dube
938,235,135,Harish Sehgal,Harish Sehgal
783,241,138,Gaurangi Nagy,Gaurangi Nagy
754,244,140,M. Rao,Matthew Rao
991,246,140,Yuwraj Lalla,Yuvraj Lalla
986,248,142,C. Parekh,Chandran Parekh
607,250,143,Gauri kare,Gauri Khare
1393,254,145,Girish Solanki,Girish Solanki
1671,255,145,Faraj Sathe,Faraj Sathe
372,258,147,A. Ghose,Ayush Ghose
443,271,154,Ekaraj Peri,Ekaraj Peri
1671,273,155,F Sathe,Faraj Sathe
1457,274,156,R Mander,Rehaan Mander
887,276,156,Neel Bhasin,Neel Bhasin
1742,279,158,Tanay Vora,Tanay Vora
815,280,159,Shaurya Pillai,Shaurya Pillai
607,282,160,Gauri Khare,Gauri Khare
224,289,164,Azad Mallick,Azad Mallick
1436,291,166,U Oza,Ubika Oza
1332,295,168,O Venkataraman,Om Venkataraman
186,298,168,R. Oommen,Rohan Oommen
1293,307,172,Raghav Shenoy,Raghav Shenoy
385,310,173,Christopher De,Christopher De
1332,313,175,Om wenkataraman,Om Venkataraman
1348,318,178,T Sha,Tarak Sha
