AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,ResolvedPersonID
1,1,Matthew Dasgupta,19,M,1
2,2,Laban Bera,49,M,2
3,2,Ojas Ramaswamy,27,M,3
4,2,Advik Iyengar,44,M,4
5,2,Atharv Bhatti,42,M,5
6,3,Bhavani Raval,22,F,6
7,4,Nathaniel Bhalla,61,M,7
8,4,Faris Dhar,39,M,32844
9,5,Yatin Dalal,24,M,9
10,5,Qadim Dalal,19,M,56253
11,6,Victor Bajwa,43,M,11
12,6,N. Bhasin,39,M,12
13,7,Chandresh Lata,37,M,13
14,8,Hiral Ahuja,57,F,14
15,8,H Sehgal,16,M,3144
16,9,Ethan Krishnamurthy,61,M,16
17,10,A. Pall,27,M,36791
18,11,Ethan Koshy,34,M,18
19,12,Tripti Mane,19,F,23510
20,13,M Rao,46,M,20
21,13,Girik Memon,64,M,21
22,13,Gopal Hans,31,M,39764
23,14,Bimala Mistry,62,F,23
24,15,Umang Bedi,16,M,24
25,16,Charles Ganesh,26,M,25
26,16,Krishna Mohan,37,M,26
27,16,Harsh Keer,53,M,17709
28,17,G. Dhingra,25,M,28
29,17,Samuel Mani,29,M,29
30,18,T. Mane,18,F,23510
31,18,Jagat Chaudhuri,30,M,31
32,18,George Sengupta,55,M,32
33,19,Ojas Palla,56,M,5066
34,19,Panini Shanker,40,F,34
35,19,Ekalinga Pall,43,M,31613
36,20,Deepa Sandhu,27,F,36
37,21,Henry Nanda,59,M,37
38,22,Xavier Baral,20,M,38
39,22,Mason Ratti,41,M,39
40,22,Jayraj Chada,29,M,24481
41,22,Qushi Balan,49,F,41
42,23,L Bora,20,M,2893
43,24,O Sachdev,30,F,43
44,25,Lucky Kanda,42,M,26399
45,25,Faraj Verma,54,M,45
46,25,Nil Bhasin,39,M,12
47,26,Samesh Sachdev,50,M,37790
48,27,T Saxena,38,M,48
49,27,Vedant Gandhi,62,M,2506
50,27,Avi Ravi,37,M,50
51,27,Pranit Bir,38,M,51
52,28,Abeer Sehgal,24,M,52
53,29,Hemangini De,59,F,53
54,29,Yashawini Butala,16,F,54
55,29,Dalbir Date,52,M,55
56,30,Raghav Bava,55,M,5499
57,30,Nihal Jha,53,M,57
58,30,Krishna Chokshi,34,M,27326
59,31,Matthew Chauhan,52,M,59
60,31,Victor Dhar,25,M,60
61,32,Dakshesh Bava,24,M,61
62,33,Charles Ganes,27,M,25
63,33,Nicholas Hans,28,M,63
64,34,T. Saxena,38,M,48
65,35,Onveer Lala,41,M,65
66,35,C De,20,M,66
67,36,Nikita Naik,55,F,67
68,37,David Setty,43,M,68
69,38,Chandran More,18,M,69
70,38,David Kaul,59,M,70
71,39,Oscar Jayaraman,16,M,71
72,40,Varenya Magar,53,F,72
73,40,D. Gola,49,M,73
74,40,Oeshi Das,21,F,74
75,41,Gautam Madan,57,M,75
76,42,Elijah Verma,45,M,76
77,42,Rishi Lad,25,M,32708
78,42,Janaki Natt,39,F,78
79,43,Wahab Pradhan,62,M,79
80,44,Nil Bhasin,39,M,12
81,44,Anay Raja,23,M,81
82,45,Omkaar Ram,16,M,82
83,46,L Bera,51,M,83
84,47,Zaid Hari,19,M,84
85,48,Faris Badami,46,M,85
86,48,Qasim Pall,26,M,86
87,48,Rishi Hari,62,M,87
88,48,Banjeet Sankaran,54,M,88
89,49,Eiravati Chopra,45,F,89
90,49,F. Trivedi,20,M,41881
91,50,Eta Badami,37,F,91
92,51,Dakshesh Gour,42,M,23989
93,52,Rohan ummen,29,M,4235
94,53,J Chada,29,M,24481
95,54,Hardik Sarkar,21,M,95
96,54,Lakshmi Comar,16,T,96
97,54,Pratyush Mane,17,M,97
98,54,T. Saxena,38,M,48
99,55,Luke Dugar,61,M,99
100,56,Sathvik Rau,23,M,100
101,56,Harish Shenoy,40,M,101
102,57,Nathan Gopal,52,M,102
103,58,Anmol Sharaf,47,M,103
104,59,Anmol Saran,59,M,104
105,59,Aditya Varty,32,M,105
106,60,Bahadurjit Merchant,40,M,106
107,61,Krisna Badal,52,M,107
108,61,Samesh Butala,17,M,108
109,62,S. Joshi,50,M,704
110,63,Vihaan Kothari,48,M,110
111,64,Radhika Sharma,22,F,111
112,65,Kritika Balay,24,F,112
113,66,Upkaar Tella,49,M,113
114,66,Krish Kannan,58,M,114
115,66,Gautam Dayal,63,M,115
116,67,Imaran Rege,29,M,116
117,67,Praneel Palan,47,M,117
118,68,Ati Majumdar,25,T,118
119,68,Wazir Ganesan,48,M,119
120,69,Azad Modi,34,M,120
121,69,Janya Kapur,35,F,121
122,69,N. Bhasin,39,M,12
123,70,Udarsh Deshpande,19,M,123
124,70,Arjun Jha,58,M,124
125,71,Samesh Nagi,65,M,125
126,72,Fitan Dip,28,M,126
127,73,Warda Nayak,42,F,127
128,74,Bakhshi Krishnan,22,M,128
129,74,Harshil Chaudhari,27,M,28150
130,75,S Pillai,46,M,30565
131,76,Owen Lalla,40,M,131
132,77,Tanish Kamdar,33,M,132
133,77,Kiaan Aggarwal,54,M,133
134,78,Gagan Choudhry,48,M,134
135,79,Ronith Sandal,42,M,135
